lga_canonical,LGA,population_growth_rate,population_2026,crash_rate_severity_weighted,traffic_volume_index,dwelling_approvals_per_capita,population_growth_rate_z,dwelling_approvals_per_capita_z,crash_rate_severity_weighted_z,traffic_volume_index_z,priority_score,cluster,archetype
PYRENEES,Pyrenees (S),0.054987212276214836,7820,84.27109974424553,389.1989247311828,4.731457800511509,-0.4872351195637874,-0.4030429420642479,1.7266408890019718,-1.1590901383801704,-0.32272731100623386,1,Established High-Strain
SWAN HILL,Swan Hill (RC),-0.017126546146527116,21020,37.012369172216935,364.84637096774196,4.186489058039961,-1.0606913947502083,-0.5014518420771386,-0.5241530079417074,-1.2190540714154496,-3.305350316184504,2,Low-Pressure Stable
HINDMARSH,Hindmarsh (S),-0.06605504587155964,5450,55.77981651376147,0.0,1.2844036697247705,-1.449776027370444,-1.0255021380856124,0.36968513426523153,,-2.105593031190825,1,Established High-Strain
WHITEHORSE,Whitehorse (C),0.1344153368552911,183610,29.15418550187898,1551.6852322998348,4.84178421654594,0.14438577307014583,-0.3831205127611036,-0.8984151100373524,1.703330442993248,0.566180593264938,0,Growth Hotspot – High Strain
SOUTH GIPPSLAND,South Gippsland (S),0.10204081632653061,31850,57.70800627943485,741.0085125448029,4.646781789638933,-0.11305985671573009,-0.41833349441713785,0.461519123544995,-0.2928201459288967,-0.3626943735167696,2,Low-Pressure Stable
MOIRA,Moira (S),0.05121638924455826,31240,47.69526248399488,347.633064516129,9.12291933418694,-0.5172211052815836,0.3899546471515838,-0.015358320128362924,-1.2614388481993044,-1.4040636264576671,2,Low-Pressure Stable
BASS COAST,Bass Coast (S),0.15059832919394897,44290,36.48679160081283,543.7346774193549,8.286294874689546,0.2730746489639099,0.23887939023019025,-0.5491847169141658,-0.7785726938540266,-0.8158033715740922,2,Low-Pressure Stable
COLAC-OTWAY,Colac-Otway (S),0.05191377034755829,22730,80.11438627364716,0.0,9.28288605367356,-0.5116754565945826,0.41884098076395726,1.528668891072261,,1.4358344152416356,1,Established High-Strain
GOLDEN PLAINS,Golden Plains (S),0.24780058651026393,27280,53.44574780058651,0.0,6.3049853372434015,1.0460373351348657,-0.11889983079605741,0.25852032829029453,,1.185657832629103,2,Low-Pressure Stable
DAREBIN,Darebin (C),0.1576306449638967,163420,37.853383918736995,1490.2805461595578,7.330804063150166,0.32899637174707835,0.06633958673692168,-0.4840979570380045,1.55213207080053,1.4633700722465255,0,Growth Hotspot – High Strain
MACEDON RANGES,Macedon Ranges (S),0.17684363109258924,55190,40.35151295524551,469.4026526936303,5.308932777677115,0.4817800804532633,-0.29876415897275094,-0.36511944193419094,-0.9616023915328584,-1.143705911986537,2,Low-Pressure Stable
GREATER SHEPPARTON,Greater Shepparton (C),0.09468854282536152,71920,44.81368186874305,725.4234152943831,6.966073414905451,-0.17152591740024192,0.0004775673264693254,-0.15259950252691964,-0.3311957404127685,-0.6548435930134607,2,Low-Pressure Stable
MURRINDINDI,Murrindindi (S),0.10211706102117062,16060,134.62017434620174,378.869623655914,3.1755915317559156,-0.11245355079648137,-0.6839968319717817,4.124618753814105,-1.1845242478372455,2.1436441232085968,1,Established High-Strain
WELLINGTON,Wellington (S),0.07793030623020063,47350,54.95248152059134,436.5502688172043,4.350580781414995,-0.3047891967902545,-0.4718206270365811,0.3302816096505134,-1.0424956796024114,-1.4888238937787337,2,Low-Pressure Stable
MAROONDAH,Maroondah (C),0.10169910920488287,121240,30.229297261629824,1382.1958762886597,3.60442098317387,-0.11577714808246313,-0.6065600336413244,-0.8472107091131381,1.2859923480742568,-0.2835555427626688,0,Growth Hotspot – High Strain
CASEY,Casey (C),0.23326553038273595,427710,29.723410722218325,1425.595600676819,8.835425872670735,0.930453023225127,0.3380398984626987,-0.8713045923315608,1.3928566298346374,1.7900449591909025,0,Growth Hotspot – High Strain
LODDON,Loddon (S),0.015444015444015444,7770,81.98198198198197,0.0,4.375804375804376,-0.8016868255950362,-0.46726582235737535,1.6176169641880085,-2.1174248775901203,-1.7687605613545234,1,Established High-Strain
WHITTLESEA,Whittlesea (C),0.26093168402451405,265970,30.108658871301273,1183.8642274915142,10.94484340339136,1.1504572188620303,0.7189524952561972,-0.8529563596924478,0.7976351177495051,1.8140884721752848,0,Growth Hotspot – High Strain
LATROBE,Latrobe (C) (Vic.),0.06440677966101695,79650,36.610169491525426,654.275277488727,5.072190834902699,-0.4123297180911522,-0.3415143432671489,-0.5433085920146523,-0.5063856696664297,-1.803538323039383,2,Low-Pressure Stable
MOONEE VALLEY,Moonee Valley (C),0.14584442247737814,131510,34.23313816439814,1184.6939029970258,4.608014599650216,0.23527107724757718,-0.42533396293222797,-0.6565195805279302,0.7996780495478203,-0.04690441666476075,0,Growth Hotspot – High Strain
MERRI-BEK,Merri-bek (C),0.17043175340441255,189460,2.7974242584186633,1292.2312993745886,11.585558957035786,0.43079214727055515,0.8346510811408548,-2.153709880589114,1.0644702063709393,0.1762035541932352,0,Growth Hotspot – High Strain
STONNINGTON,Stonnington (C),0.12978796169630644,116960,52.10328317373461,1327.300038606726,7.352941176470588,0.10758839375445785,0.07033704347442842,0.19458269914945903,1.150820884471257,1.5233290208496024,0,Growth Hotspot – High Strain
HEPBURN,Hepburn (S),0.08521739130434783,17250,55.01449275362319,0.0,8.46376811594203,-0.2468415214092252,0.27092700157423194,0.3332350217113241,,0.3573205018763308,2,Low-Pressure Stable
MOYNE,Moyne (S),0.06696428571428571,17920,62.332589285714285,419.6081989247312,3.2366071428571432,-0.3919921580034268,-0.6729788070757949,0.681774366977286,-1.0842125834795076,-1.4674091815814432,2,Low-Pressure Stable
GLEN EIRA,Glen Eira (C),0.09890040841972982,159150,32.126924285265474,1112.794432382134,4.404649701539428,-0.13803271432554842,-0.46205701576926494,-0.7568323330591158,0.6226380937754674,-0.7342839693784617,0,Growth Hotspot – High Strain
WODONGA,Wodonga (C),0.1601815823605707,46260,27.042801556420233,637.4032258064516,9.987029831387808,0.3492816971790848,0.5459932543081566,-0.9989740975730056,-0.5479301658647122,-0.6516293119504765,0,Growth Hotspot – High Strain
MARIBYRNONG,Maribyrnong (C),0.2391779189833201,100720,38.57227958697379,1031.6587715084556,4.904686258935663,0.9774689660701807,-0.3717618414874754,-0.44985907751202037,0.4228556240327559,0.5787036711034409,0,Growth Hotspot – High Strain
BAW BAW,Baw Baw (S),0.22416460396039603,64640,51.5934405940594,906.8364055299539,10.473391089108912,0.8580814885686437,0.6338189820079771,0.17030040140585034,0.11550223237012933,1.7777031043526008,0,Growth Hotspot – High Strain
KINGSTON,Kingston (C) (Vic.),0.09757264139662801,167260,39.25026904220973,1152.07430028463,7.437522420184145,-0.14859125888121813,0.08561048304423625,-0.41756844021461414,0.7193579446551682,0.23880872860357222,0,Growth Hotspot – High Strain
MOUNT ALEXANDER,Mount Alexander (S),0.08167141500474834,21060,45.25166191832859,552.083870967742,5.698005698005698,-0.2750395020046503,-0.2285064815494667,-0.13173980505604252,-0.7580142551909871,-1.3933000438011467,2,Low-Pressure Stable
GREATER GEELONG,Greater Geelong (C),0.2199953545475661,301370,38.958755018747716,934.3760049044392,11.467631151076748,0.8249271739011305,0.813356014541749,-0.4314523930195198,0.18331371155836904,1.3901445069817286,0,Growth Hotspot – High Strain
TOWONG,Towong (S),0.01929260450160772,6220,109.96784565916398,0.0,1.9292604501607717,-0.7710824361697574,-0.9090557412872233,2.9505010768768436,,1.270362899419863,1,Established High-Strain
CORANGAMITE,Corangamite (S),-0.026582278481012658,15800,74.24050632911393,0.0,2.848101265822785,-1.1358843837483223,-0.7431340894395181,1.2489133206092569,,-0.6301051525785835,1,Established High-Strain
CAMPASPE,Campaspe (S),0.0407955124936257,39220,47.57776644569097,622.7215988779803,5.405405405405405,-0.6000890253078124,-0.2813434072191037,-0.0209543097524692,-0.5840811216346755,-1.4864678639140607,2,Low-Pressure Stable
CENTRAL GOLDFIELDS,Central Goldfields (S),0.048034934497816595,13740,41.77583697234352,224.62970430107526,3.2023289665211063,-0.542520371727323,-0.6791686623184622,-0.2972830915678106,-1.5643132541732134,-3.083285379786809,2,Low-Pressure Stable
FRANKSTON,Frankston (C),0.07137954701441318,145700,35.68977350720659,1040.1334993674889,3.816060398078243,-0.3568815306484758,-0.5683427921796299,-0.5871443370547964,0.44372316912752063,-1.0686454907553813,0,Growth Hotspot – High Strain
NILLUMBIK,Nillumbik (S),0.050810473815461346,64160,38.68453865336658,1046.106433888692,2.041770573566085,-0.520448987936736,-0.8887389843399944,-0.4445125094079877,0.4584304827477956,-1.3952699989369226,2,Low-Pressure Stable
