lga_canonical,aadt_2005,aadt_2010,aadt_2015,trend_slope,predicted_2019,actual_2019,trending_up
ALPINE,62825.0,66861.0,72150.0,932.500000000001,75671.16666666628,79505.0,True
ARARAT,48688.0,57979.0,60355.0,1166.7000000000078,66174.29999999935,65981.0,True
BALLARAT,1010263.0,1147652.0,1231728.0,22146.50000000009,1329199.4999999925,1341912.0,True
BANYULE,1989139.0,1984702.0,2001436.0,1229.6999999999698,2002826.2999999993,2079121.0,True
BASS COAST,167433.0,221038.0,210597.0,4316.400000000058,238536.93333333358,246040.0,True
BAW BAW,718524.0,808863.0,879380.0,16085.600000000046,947026.0666666627,959378.0,True
BAYSIDE,1483760.0,1436634.0,1472888.0,-1087.2000000001021,1454642.5333333327,1500323.0,False
BENALLA,142602.0,152729.0,156137.0,1353.5000000000027,162670.8333333335,171206.0,True
BOROONDARA,3473833.0,3454823.0,3462635.0,-1119.8000000000275,3453685.4666666654,3424483.0,False
BRIMBANK,5109468.0,5429489.0,5972577.0,86310.89999999995,6280642.766666681,6297227.0,True
BULOKE,44443.0,43972.0,48092.0,364.89999999999685,48786.43333333323,52204.0,True
CAMPASPE,219401.0,236128.0,254584.0,3518.300000000004,268369.0333333323,277553.0,True
CARDINIA,1042856.0,1120998.0,1313330.0,27047.399999999954,1402487.9333333299,1446229.0,True
CASEY,4280508.0,4763118.0,5323050.0,104254.20000000022,5727179.799999952,5634331.0,True
CENTRAL GOLDFIELDS,57875.0,62595.0,68081.0,1020.6000000000029,72035.73333333316,74594.0,True
COLAC-OTWAY,139497.0,148102.0,150825.0,1132.8000000000056,156336.5333333332,170491.0,True
CORANGAMITE,126361.0,136085.0,141539.0,1517.800000000007,148321.8666666667,154851.0,True
DAREBIN,2201443.0,2188126.0,2202724.0,128.0999999999146,2198583.899999999,2222510.0,True
EAST GIPPSLAND,258419.0,300996.0,305507.0,4708.800000000038,330686.5333333332,342403.0,True
FRANKSTON,2510462.0,2744606.0,3005903.0,49544.100000000115,3199553.899999991,3134811.0,True
GANNAWARRA,50093.0,55078.0,60093.0,1000.0000000000026,64088.0,66069.0,True
GLEN EIRA,2312441.0,2232193.0,2240458.0,-7198.300000000105,2196912.633333333,2308116.0,False
GLENELG,95419.0,96169.0,108502.0,1308.2999999999945,111804.70000000019,117804.0,True
GOLDEN PLAINS,104433.0,123745.0,146040.0,4160.700000000005,162185.63333333284,158214.0,True
GREATER BENDIGO,697314.0,728430.0,818520.0,12120.59999999999,857173.4000000022,905958.0,True
GREATER DANDENONG,3961626.0,4585239.0,5112777.0,115115.10000000028,5589249.899999946,5299460.0,True
GREATER GEELONG,4877172.0,5234982.0,5639350.0,76217.80000000012,5936461.533333302,6326798.0,True
GREATER SHEPPARTON,341517.0,370300.0,380127.0,3861.0000000000173,398730.3333333321,424745.0,True
HEPBURN,86531.0,102064.0,106660.0,2012.9000000000128,116534.43333333312,116924.0,True
HINDMARSH,58564.0,63986.0,63066.0,450.2000000000054,65923.80000000005,69990.0,True
HOBSONS BAY,2722639.0,2833573.0,3105985.0,38334.5999999999,3232410.399999991,3230601.0,True
HORSHAM,122712.0,139339.0,155929.0,3321.700000000008,169221.96666666586,165472.0,True
HUME,2747092.0,3000838.0,3316482.0,56939.0000000001,3533921.6666666716,3667475.0,True
INDIGO,150898.0,164434.0,183667.0,3276.9000000000055,195825.0999999987,201973.0,True
KINGSTON,2732985.0,2682871.0,2773200.0,4021.499999999881,2765878.833333331,3060983.0,True
KNOX,1824841.0,2585586.0,2828525.0,100368.4000000006,3316299.5999999344,2974868.0,True
LATROBE,1125378.0,1277280.0,1336376.0,21099.800000000083,1436242.8666666746,1458563.0,True
LODDON,53824.0,57616.0,61858.0,803.4000000000001,64996.59999999963,74528.0,True
MACEDON RANGES,714697.0,805958.0,925985.0,21128.80000000004,1005705.8666666672,1017391.0,True
MANNINGHAM,1651988.0,1837867.0,1866484.0,21449.60000000018,1978492.7333333194,1966470.0,True
MANSFIELD,39239.0,44778.0,45916.0,667.7000000000046,49320.29999999958,50670.0,True
MARIBYRNONG,1762966.0,1802209.0,1839223.0,7625.6999999999625,1870097.299999997,1912168.0,True
MAROONDAH,1733224.0,1958854.0,2025941.0,29271.70000000019,2169451.633333318,2078960.0,True
MELBOURNE,10008328.0,10003180.0,10108472.0,10014.399999999801,10130122.933333332,10180112.0,True
MELTON,1189913.0,1383939.0,1629688.0,43977.50000000003,1796977.499999985,1799106.0,True
MERRI-BEK,2779048.0,2837093.0,2898660.0,11961.199999999999,2945917.799999997,2969013.0,True
MILDURA,264055.0,272296.0,300383.0,3632.7999999999915,311606.5333333323,329127.0,True
MITCHELL,787193.0,902326.0,1024964.0,23777.100000000068,1118821.5666666552,1132432.0,True
MOIRA,129140.0,134597.0,156097.0,2695.6999999999953,164205.96666666586,170594.0,True
MONASH,5370351.0,5511391.0,5916562.0,54621.09999999989,6091024.566666648,6046995.0,True
MOONEE VALLEY,3531455.0,3805565.0,4200646.0,66919.10000000002,4448160.566666648,4158573.0,True
MOORABOOL,610683.0,700638.0,863362.0,25267.89999999999,952305.4333333299,951628.0,True
MORNINGTON PENINSULA,2155022.0,2376806.0,2906075.0,75105.29999999996,3155248.699999988,3042980.0,True
MOUNT ALEXANDER,196922.0,199864.0,234121.0,3719.8999999999864,243781.43333333358,252744.0,True
MOYNE,147045.0,161159.0,174263.0,2721.8000000000093,185318.5333333332,190046.0,True
MURRINDINDI,64949.0,78763.0,69282.0,433.30000000001553,74897.70000000019,75828.0,True
NILLUMBIK,720147.0,787762.0,853710.0,13356.300000000017,907413.0333333351,926430.0,True
NORTHERN GRAMPIANS,76752.0,84281.0,86710.0,995.8000000000054,91543.19999999972,95254.0,True
PORT PHILLIP,3647607.0,3598299.0,3570299.0,-7730.8000000001575,3535824.466666667,3579924.0,False
PYRENEES,36573.0,43040.0,47695.0,1112.2000000000037,52445.79999999935,51345.0,True
QUEENSCLIFFE,27658.0,29533.0,28156.0,49.80000000000186,28897.20000000001,30871.0,True
SOUTH GIPPSLAND,241185.0,273711.0,273960.0,3277.500000000027,292449.49999999814,293142.0,True
SOUTHERN GRAMPIANS,90508.0,99235.0,105328.0,1482.0000000000045,111695.0,108822.0,True
STONNINGTON,3764731.0,3709776.0,3910506.0,14577.499999999933,3926201.8333333246,3946801.0,True
STRATHBOGIE,208759.0,229672.0,218553.0,979.4000000000229,227809.26666666684,237653.0,True
SURF COAST,167914.0,184041.0,193431.0,2551.70000000001,204760.63333333284,221550.0,True
SWAN HILL,90207.0,92639.0,99927.0,971.9999999999991,103005.66666666628,108817.0,True
TOWONG,18050.0,20147.0,20366.0,231.60000000000198,21605.399999999965,22080.0,True
WANGARATTA,313442.0,334299.0,359176.0,4573.400000000006,376799.6000000015,393531.0,True
WARRNAMBOOL,104100.0,115112.0,122889.0,1878.9000000000053,130943.76666666614,133914.0,True
WELLINGTON,291545.0,331451.0,337908.0,4636.300000000039,362028.0333333332,362907.0,True
WEST WIMMERA,23625.0,25846.0,27289.0,366.40000000000134,28884.266666666488,29543.0,True
WHITEHORSE,2918544.0,2867013.0,2923727.0,518.2999999998339,2907759.366666665,2998675.0,True
WHITTLESEA,2030962.0,2267486.0,2509131.0,47816.90000000008,2699545.0999999642,2725394.0,True
WODONGA,448123.0,481558.0,534349.0,8622.59999999999,565613.3999999985,586404.0,True
WYNDHAM,2652995.0,2947868.0,3365773.0,71277.80000000005,3630378.866666645,3595629.0,True
YARRA,3474368.0,3431709.0,3494055.0,1968.6999999999289,3484428.966666665,3453905.0,True
YARRA RANGES,1818745.0,1939179.0,2022371.0,20362.60000000006,2110028.400000006,2108182.0,True
YARRIAMBIACK,41561.0,44961.0,47862.0,630.1000000000022,50465.56666666642,51445.0,True
